t,H,L
1854.0,1.847886441621877,5.622885511893836
1855.0,1.847921236388253,5.623213483707455
1856.0,1.8479561232713524,5.623541422216588
1857.0,1.847991102221324,5.623869327550525
1858.0,1.8480261731883751,5.624197199838418
1859.0,1.8480613361227727,5.62452503920928
1860.0,1.8480965909748424,5.624852845791984
1861.0,1.8481319376949688,5.625180619715266
1862.0,1.8481673762335953,5.625508361107726
1863.0,1.8482029065412238,5.625836070097824
1864.0,1.8482385285684144,5.626163746813884
1865.0,1.848274242265786,5.626491391384092
1866.0,1.8483100475840155,5.626819003936499
1867.0,1.848345944473838,5.6271465845990205
1868.0,1.848381932886046,5.627474133499433
1869.0,1.8484180127714906,5.627801650765379
1870.0,1.8484541840810802,5.6281291365243655
1871.0,1.8484904467657808,5.628456590903764
1872.0,1.8485268007766158,5.628784014030811
1873.0,1.8485632460646662,5.629111406032608
1874.0,1.8485997825810696,5.629438767036125
1875.0,1.8486364102770214,5.629766097168194
1876.0,1.8486731291037737,5.630093396555517
1877.0,1.848709939012635,5.6304206653246585
1878.0,1.848746839954971,5.630747903602053
1879.0,1.8487838318822036,5.631075111514002
1880.0,1.8488209147458117,5.6314022891866715
1881.0,1.8488580884973298,5.631729436746098
1882.0,1.8488953530883494,5.6320565543181855
1883.0,1.8489327084705174,5.632383642028706
1884.0,1.8489701545955368,5.632710700003298
1885.0,1.849007691415167,5.633037728367472
1886.0,1.8490453188812221,5.633364727246605
1887.0,1.8490830369455729,5.633691696765946
1888.0,1.8491208455601449,5.634018637050611
1889.0,1.8491587446769193,5.634345548225586
1890.0,1.8491967342479325,5.63467243041573
1891.0,1.849234814225276,5.634999283745768
1892.0,1.8492729845610958,5.6353261083402995
1893.0,1.8493112452075937,5.635652904323793
1894.0,1.8493495961170257,5.635979671820588
1895.0,1.8493880372417024,5.636306410954898
1896.0,1.8494265685339892,5.636633121850805
1897.0,1.8494651899463055,5.636959804632265
1898.0,1.8495039014311254,5.637286459423105
1899.0,1.849542702940977,5.637613086347027
1900.0,1.8495815944284424,5.637939685527603
1901.0,1.8496205758461577,5.638266257088279
1902.0,1.8496596471468127,5.638592801152376
1903.0,1.8496988082831514,5.638919317843085
1904.0,1.8497380592079704,5.639245807283475
1905.0,1.8497773998741207,5.639572269596486
